term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0048513,"animal organ development",18.719%,null,null,3.511,-3.9281,0.554,0.432,9653,1
GO:0007275,"multicellular organism development",28.938%,null,null,3.700,-1.8477,0.574,0.607,9653,1
GO:0072359,"circulatory system development",5.361%,null,null,2.968,-2.1261,0.625,0.439,9653,1
GO:0051094,"positive regulation of developmental process",6.815%,null,null,3.073,-3.1811,0.535,0.711,9653,1
GO:0051240,"positive regulation of multicellular organismal process",8.327%,null,null,3.160,-1.7620,0.550,0.663,9653,1
GO:0022008,"neurogenesis",8.442%,null,null,3.166,-1.4214,0.592,0.703,9653,1
GO:0048731,"system development",25.695%,null,null,3.649,-2.8239,0.556,0.581,9653,1
GO:0030182,"neuron differentiation",7.178%,null,null,3.095,-1.3161,0.600,0.469,9653,1
GO:0007423,"sensory organ development",2.972%, 5.930, 0.553,2.713,-2.3726,0.626,0.354,7423,0
GO:0050793,"regulation of developmental process",12.949%, 5.176, 3.548,3.351,-3.4168,0.639,0.355,50793,0
GO:0043010,"camera-type eye development",1.691%, 7.067,-0.839,2.468,-1.4389,0.617,0.359,43010,0
GO:0090596,"sensory organ morphogenesis",1.443%,null,null,2.400,-1.3862,0.591,0.820,43010,1
GO:0048593,"camera-type eye morphogenesis",0.606%,null,null,2.025,-1.4634,0.620,0.840,43010,1
GO:2000177,"regulation of neural precursor cell proliferation",0.427%,-4.486, 0.185,1.875,-1.5391,0.903,0.374,2000177,0
GO:0009888,"tissue development",10.912%, 6.214, 3.018,3.277,-2.8962,0.662,0.377,9888,0
GO:0007507,"heart development",2.891%, 6.140,-0.205,2.701,-2.3382,0.627,0.386,7507,0
GO:0009893,"positive regulation of metabolic process",17.715%,-1.940, 6.116,3.487,-1.5258,0.739,0.395,9893,0
