"","SampleID","Sample","Replicate","Clutch","Timepoint","Measurement","MeasureType","PhenotypeSum","PhenotypeNotocord","PhenotypeNeuron","PhenotypeMorphology","Stain","Other.Notes","SampleFull"
"40","pbx3_VMO","pbx3MO",8,"22120","72hpa",501.286,"Tail",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.8.22120"
"41","pbx3_VMO","pbx3MO",9,"22120","72hpa",409.272,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.9.22120"
"42","pbx3_VMO","pbx3MO",9,"22120","72hpa",484.114,"Tail",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.9.22120"
"43","pbx3_VMO","pbx3MO",10,"22120","72hpa",404.556,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.10.22120"
"44","pbx3_VMO","pbx3MO",10,"22120","72hpa",528.275,"Tail",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.10.22120"
"45","pbx3_VMO","pbx3MO",11,"22120","72hpa",401.86,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.11.22120"
"46","pbx3_VMO","pbx3MO",11,"22120","72hpa",579.1,"Tail",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.11.22120"
"47","pbx3_VMO","pbx3MO",12,"22120","72hpa",327.569,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.12.22120"
"48","pbx3_VMO","pbx3MO",12,"22120","72hpa",548.51,"Tail",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.12.22120"
"49","meis1_VMO","meis1MO",1,"22120","72hpa",303.827,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","meis1MO.72hpa.1.22120"
"50","meis1_VMO","meis1MO",1,"22120","72hpa",416.751,"Tail",0,0,0,0,"0","vivostudy_final dose","meis1MO.72hpa.1.22120"
"51","meis1_VMO","meis1MO",2,"22120","72hpa",433.969,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","meis1MO.72hpa.2.22120"
"52","meis1_VMO","meis1MO",2,"22120","72hpa",517.446,"Tail",0,0,0,0,"0","vivostudy_final dose","meis1MO.72hpa.2.22120"
"53","meis1_VMO","meis1MO",3,"22120","72hpa",489.537,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","meis1MO.72hpa.3.22120"
"54","meis1_VMO","meis1MO",3,"22120","72hpa",655.452,"Tail",0,0,0,0,"0","vivostudy_final dose","meis1MO.72hpa.3.22120"
"55","meis1_VMO","meis1MO",4,"22120","72hpa",243.394,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","meis1MO.72hpa.4.22120"
"56","meis1_VMO","meis1MO",4,"22120","72hpa",351.939,"Tail",0,0,0,0,"0","vivostudy_final dose","meis1MO.72hpa.4.22120"
"57","meis1_VMO","meis1MO",5,"22120","72hpa",282.475,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","meis1MO.72hpa.5.22120"
"58","meis1_VMO","meis1MO",5,"22120","72hpa",394.083,"Tail",0,0,0,0,"0","vivostudy_final dose","meis1MO.72hpa.5.22120"
"59","meis1_VMO","meis1MO",6,"22120","72hpa",353.702,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","meis1MO.72hpa.6.22120"
"60","meis1_VMO","meis1MO",6,"22120","72hpa",442.733,"Tail",0,0,0,0,"0","vivostudy_final dose","meis1MO.72hpa.6.22120"
"61","meis1_VMO","meis1MO",7,"22120","72hpa",357.025,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","meis1MO.72hpa.7.22120"
"62","meis1_VMO","meis1MO",7,"22120","72hpa",456.636,"Tail",0,0,0,0,"0","vivostudy_final dose","meis1MO.72hpa.7.22120"
"63","meis1_VMO","meis1MO",8,"22120","72hpa",332.795,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","meis1MO.72hpa.8.22120"
"64","meis1_VMO","meis1MO",8,"22120","72hpa",477.351,"Tail",0,0,0,0,"0","vivostudy_final dose","meis1MO.72hpa.8.22120"
